Rank	Rank Rep1	Rank Rep2	Rank Rep3	id	Lead gene name	Protein IDs	Majority protein IDs	Protein names	Gene names	Fasta headers	Q-value	Ratio H/L count M1_F1	Ratio H/L count M1_F2	Ratio H/L count M1_F3	Ratio H/L count M2_F1	Ratio H/L count M2_F2	Ratio H/L count M2_F3	Ratio H/L count M3_F1	Ratio H/L count M3_F2	Ratio H/L count M3_F3	Min Ratio count	LognRatio H/L M1_F1	LognRatio H/L M1_F2	LognRatio H/L M1_F3	LognRatio H/L M2_F1	LognRatio H/L M2_F2	LognRatio H/L M2_F3	LognRatio H/L M3_F1	LognRatio H/L M3_F2	LognRatio H/L M3_F3	Delta 1_1	Delta 1_2	Delta 1_3	Delta 2_1	Delta 2_2	Delta 2_3	Delta 3_1	Delta 3_2	Delta 3_3	Abs Dist 1	Abs Dist 2	Abs Dist 3	Abs Dist total	Median abs dist replicates	Max dist	Rob sum abs dist (minus max dist)	Chosen Distance	Total Ratio count	Percentile	Sum lower two reps			LognRatio H/L M1_F1	LognRatio H/L M1_F2	LognRatio H/L M1_F3	LognRatio H/L M2_F1	LognRatio H/L M2_F2	LognRatio H/L M2_F3	LognRatio H/L M3_F1	LognRatio H/L M3_F2	LognRatio H/L M3_F3				Add abundance filter	id	Gene names	Delta F3	Passes filter?	Correlation 1 vs 2	Correlation 1 vs 3	Correlation 2 vs 3	Min correl	Correlation with query	distance correl	Rank propduct three neighbourhoods	Rank three neigbourhoods	Rand
1388	1021	1202	2035	7507	HBS1L	Q9Y450;Q9Y450-4	Q9Y450;Q9Y450-4	HBS1-like protein	HBS1L	sp|Q9Y450|HBS1L_HUMAN HBS1-like protein OS=Homo sapiens OX=9606 GN=HBS1L PE=1 SV=1;sp|Q9Y450-4|HBS1L_HUMAN Isoform 3 of HBS1-like protein OS=Homo sapiens OX=9606 GN=HBS1L	0	23	18	19	19	21	16	18	21	16	16	0.174221651	0.340721285	0.385578013	0.037819508	0.117824153	-0.027349896	-0.041489338	0.128482597	0.26456651	0.182495404	0.162676823	1.771810799	0.433403665	0.283827075	1.319282912	0.637366216	0.332197981	1.764200952	2.116983027	2.036513652	2.73376515	6.887261828	2.116983027	1.771810799	5.115451029	6.887261828	171	0.86	4.153496679																7507	HBS1L	0.044	1	-0.143365504	0.967165356	-0.390180689	-0.390180689	-0.294721395	1.294721395	2497437471	1425	0.610770097
2234	2119	2615	1534	2146	HCFC1	P51610-4;P51610-3	P51610-4	Host cell factor 1;HCF N-terminal chain 1;HCF N-terminal chain 2;HCF N-terminal chain 3;HCF N-terminal chain 4;HCF N-terminal chain 5;HCF N-terminal chain 6;HCF C-terminal chain 1;HCF C-terminal chain 2;HCF C-terminal chain 3;HCF C-terminal chain 4;HCF C-terminal chain 5;HCF C-terminal chain 6	HCFC1	sp|P51610-4|HCFC1_HUMAN Isoform 4 of Host cell factor 1 OS=Homo sapiens OX=9606 GN=HCFC1	0	19	20	17	23	20	15	24	19	18	15	-0.264342395	-0.048139806	0.017996719	-0.324316871	0.088466174	0.343099431	-0.00500686	0.239214223	0.176535633	0.62105945	0.551537914	1.404229505	0.795540044	0.313185054	1.689732239	0.600883739	0.221466355	1.676170075	2.57682687	2.798457337	2.498520169	7.873804376	2.57682687	1.689732239	6.184072137	7.873804376	175	0.86	5.075347039																2146	HCFC1	-0.13	1	0.986941909	0.889056332	0.803706441	0.803706441	-0.510624011	1.510624011	8500177791	2286	0.572147074
332	1275	224	349	1322	HCLS1	P14317;P14317-2	P14317	Hematopoietic lineage cell-specific protein	HCLS1	sp|P14317|HCLS1_HUMAN Hematopoietic lineage cell-specific protein OS=Homo sapiens OX=9606 GN=HCLS1 PE=1 SV=3	0	20	25	28	15	18	33	15	25	26	15	1.244578523	0.476893217	-0.070011076	0.652795827	-0.069971892	-0.794101796	0.445704162	-0.182679947	-0.803128748	0.887861467	0.026504891	1.31622171	0.181572654	0.47162312	0.552531013	0.150172716	0.643360526	0.696505694	2.230588069	1.205726786	1.490038936	4.926353792	1.490038936	1.31622171	3.610132081	4.926353792	205	0.90	2.695765723																1322	HCLS1	0.029	1	0.995279269	0.995679235	0.999991129	0.995279269	0.721776422	0.278223578	99674400.16	376	0.160303132
2363	2402	2447	1867	2996	HDAC1	Q13547	Q13547	Histone deacetylase 1	HDAC1	sp|Q13547|HDAC1_HUMAN Histone deacetylase 1 OS=Homo sapiens OX=9606 GN=HDAC1 PE=1 SV=1	0	11	7	11	11	10	6	12	14	10	6	-0.364179718	-0.178873664	-0.06450614	-0.120698013	0.263071417	0.600547827	-0.100257617	0.222648507	0.226372034	0.720896773	0.682271773	1.321726646	0.591921186	0.13857981	1.947180635	0.696134496	0.238032071	1.726006476	2.724895192	2.677681632	2.660173042	8.062749866	2.677681632	1.947180635	6.115569231	8.062749866	92	0.68	5.337854674																2996	HDAC1	-0.134	1	0.995124405	0.9294631	0.888546175	0.888546175	-0.498936603	1.498936603	10973654698	2470	0.114487869
766	646	994	809	5127	HDAC2	Q92769;Q92769-3	Q92769;Q92769-3	Histone deacetylase 2	HDAC2	sp|Q92769|HDAC2_HUMAN Histone deacetylase 2 OS=Homo sapiens OX=9606 GN=HDAC2 PE=1 SV=2;sp|Q92769-3|HDAC2_HUMAN Isoform 2 of Histone deacetylase 2 OS=Homo sapiens OX=9606 GN=HDAC2	0	5	4	4	6	6	2	1	4	2	1	0.18952428	0.011979634	-0.115354625	0.6141568	0.510518355	0.299537086	0.415161288	0.463803672	0.276715064	0.167192776	0.491418474	1.270878161	0.142933627	0.108867127	1.646169894	0.180715591	0.003123093	1.776349506	1.929489412	1.897970648	1.96018819	5.787648249	1.929489412	1.776349506	4.011298744	5.787648249	34	0.24	3.82746006																5127	HDAC2	-0.22	1	0.958446515	0.643565485	0.835167953	0.643565485	0.446441463	0.553558537	519478317	816	0.962830012
1720	1801	1493	1906	2313	HDAC4	P56524;P56524-2	P56524;P56524-2	Histone deacetylase 4	HDAC4	sp|P56524|HDAC4_HUMAN Histone deacetylase 4 OS=Homo sapiens OX=9606 GN=HDAC4 PE=1 SV=3;sp|P56524-2|HDAC4_HUMAN Isoform 2 of Histone deacetylase 4 OS=Homo sapiens OX=9606 GN=HDAC4	0	2	2	3	4	6	2	3	5	2	2	-0.069488714	-0.236476984	-0.111640927	0.358077701	-0.089419332	0.236671772	-0.363998839	0.071024717	-0.17299832	0.42620577	0.739875092	1.274591859	0.113145472	0.49107056	1.58330458	0.959875717	0.389655861	1.326636122	2.440672722	2.187520612	2.6761677	7.304361033	2.440672722	1.58330458	5.721056453	7.304361033	29	0.18	4.628193333																2313	HDAC4	-0.09	1	0.999794753	-0.978406033	-0.982392721	-0.982392721	-0.093293861	1.093293861	5125030058	1868	0.135635394
1731	955	2488	1565	7011	HDAC6	Q9UBN7;Q9UBN7-2	Q9UBN7;Q9UBN7-2	Histone deacetylase 6	HDAC6	sp|Q9UBN7|HDAC6_HUMAN Histone deacetylase 6 OS=Homo sapiens OX=9606 GN=HDAC6 PE=1 SV=2;sp|Q9UBN7-2|HDAC6_HUMAN Isoform 2 of Histone deacetylase 6 OS=Homo sapiens OX=9606 GN=HDAC6	0	4	3	4	4	2	7	3	3	3	2	-0.102489361	0.219135683	-0.0399546	-0.2295743	-0.269645086	-0.005950289	0.276914873	0.087346131	0.323988482	0.459206416	0.284262426	1.346278186	0.700797472	0.671296314	1.340682519	0.318962006	0.373334447	1.823622924	2.089747028	2.712776306	2.515919377	7.318442711	2.515919377	1.823622924	5.494819787	7.318442711	33	0.23	4.605666405																7011	HDAC6	0.156	1	-0.46237377	-0.931087356	0.753969816	-0.931087356	-0.197315335	1.197315335	3718502600	1667	0.016955316
1944	2501	833	2543	4184	HDDC2	Q7Z4H3;Q7Z4H3-2;Q7Z4H3-3	Q7Z4H3;Q7Z4H3-2	HD domain-containing protein 2	HDDC2	sp|Q7Z4H3|HDDC2_HUMAN HD domain-containing protein 2 OS=Homo sapiens OX=9606 GN=HDDC2 PE=1 SV=1;sp|Q7Z4H3-2|HDDC2_HUMAN Isoform 2 of HD domain-containing protein 2 OS=Homo sapiens OX=9606 GN=HDDC2	0	3	3	5	6	5	8	4	5	4	3	-0.146562828	-0.292595984	0.104205503	0.481563545	-0.003312683	0.003212855	1.463656928	-0.11602046	0.04644472	0.503279884	0.795994093	1.490438289	0.010340372	0.404963911	1.349845663	0.86778005	0.576701038	1.546079162	2.789712266	1.765149946	2.99056025	7.545422462	2.789712266	1.546079162	5.999343301	7.545422462	43	0.34	4.554862212																4184	HDDC2	-0.017	1	-0.139041806	-0.057573256	0.996648998	-0.139041806	0.219032162	0.780967838	5297915820	1895	0.960328666
3054	3201	2905	2448	2164	HDGF	P51858;P51858-2;P51858-3	P51858;P51858-2;P51858-3	Hepatoma-derived growth factor	HDGF	sp|P51858|HDGF_HUMAN Hepatoma-derived growth factor OS=Homo sapiens OX=9606 GN=HDGF PE=1 SV=1;sp|P51858-2|HDGF_HUMAN Isoform 2 of Hepatoma-derived growth factor OS=Homo sapiens OX=9606 GN=HDGF;sp|P51858-3|HDGF_HUMAN Isoform 3 of Hepatoma-derived growth fac	0	10	10	7	12	8	5	8	9	4	4	-0.377962402	-0.815729945	0.355887646	-0.062611274	-0.252189269	0.538874119	0.215336624	0.031532171	0.622932976	0.734679457	1.319128053	1.742120432	0.533834447	0.653840497	1.885506927	0.380540255	0.429148407	2.122567418	3.795927943	3.073181871	2.932256081	9.801365895	3.073181871	2.122567418	7.678798477	9.801365895	73	0.59	6.005437952																2164	HDGF	-0.306	1	0.989192908	0.997536016	0.997041851	0.989192908	-0.757691472	1.757691472	22763719440	3008	0.264337102
2780	3043	1448	2973	2787	HDHD1	Q08623;Q08623-3;Q08623-4;Q08623-2	Q08623;Q08623-3;Q08623-4;Q08623-2	Pseudouridine-5-phosphatase	HDHD1	sp|Q08623|HDHD1_HUMAN Pseudouridine-5-phosphatase OS=Homo sapiens OX=9606 GN=PUDP PE=1 SV=3;sp|Q08623-3|HDHD1_HUMAN Isoform 3 of Pseudouridine-5-phosphatase OS=Homo sapiens OX=9606 GN=PUDP;sp|Q08623-4|HDHD1_HUMAN Isoform 4 of Pseudouridine-5-phosphatase	0	2	1	2	3	2	3	3	3	2	1	0.295641015	0.019693432	1.412881672	0.064849468	-0.262772384	-0.255222337	0.071338103	-0.093181117	0.799507795	0.061076041	0.483704677	2.799114458	0.406373705	0.664423612	1.091410471	0.524538775	0.553861695	2.299142237	3.343895176	2.162207788	3.377542708	8.883645671	3.343895176	2.799114458	6.084531213	8.883645671	21	0.08	5.506102964																2787	HDHD1	-0.232	1	-0.310077961	0.999900466	-0.323460508	-0.323460508	-0.592031392	1.592031392	13099822872	2601	0.030020207
1265	2272	1070	963	6194	HDHD2	Q9H0R4;Q9H0R4-2	Q9H0R4;Q9H0R4-2	Haloacid dehalogenase-like hydrolase domain-containing protein 2	HDHD2	sp|Q9H0R4|HDHD2_HUMAN Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Homo sapiens OX=9606 GN=HDHD2 PE=1 SV=1;sp|Q9H0R4-2|HDHD2_HUMAN Isoform 2 of Haloacid dehalogenase-like hydrolase domain-containing protein 2 OS=Homo sapiens OX=9606 	0	5	3	2	6	2	3	5	3	2	2	0.166509035	-0.04168818	0.528225308	0.718516641	0.455654809	0.296317008	0.382177928	0.228372954	0.170082215	0.19020802	0.545086288	1.914458095	0.247293468	0.054003581	1.642949816	0.21369895	0.232307624	1.669716657	2.649752403	1.944246865	2.115723231	6.7097225	2.115723231	1.914458095	4.795264405	6.7097225	31	0.20	4.059970097																6194	HDHD2	-0.186	1	-0.511777416	-0.410968157	0.993538961	-0.511777416	-0.01629101	1.01629101	2341091520	1400	0.336031474
2077	1975	1764	2367	2622	HDLBP	Q00341;Q00341-2	Q00341;Q00341-2	Vigilin	HDLBP	sp|Q00341|VIGLN_HUMAN Vigilin OS=Homo sapiens OX=9606 GN=HDLBP PE=1 SV=2;sp|Q00341-2|VIGLN_HUMAN Isoform 2 of Vigilin OS=Homo sapiens OX=9606 GN=HDLBP	0	14	16	17	15	19	13	15	15	17	13	0.031567939	-0.104136182	0.188936112	0.302410181	-0.073301417	0.328198867	-0.051509481	0.06016766	0.342440597	0.325149117	0.607534291	1.575168898	0.168812992	0.474952645	1.674831675	0.647386359	0.400512918	1.842075039	2.507852305	2.318597312	2.889974316	7.716423933	2.507852305	1.842075039	5.874348894	7.716423933	141	0.81	4.826449617																2622	HDLBP	-0.154	1	0.873308819	0.725144305	0.2978132	0.2978132	-0.726684837	1.726684837	8246391301	2263	0.936980842
2307	2207	2873	1236	6310	HEATR1	Q9H583	Q9H583	"HEAT repeat-containing protein 1;HEAT repeat-containing protein 1, N-terminally processed"	HEATR1	sp|Q9H583|HEAT1_HUMAN HEAT repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=HEATR1 PE=1 SV=3	0	5	12	7	12	10	8	6	9	7	5	-0.762253511	0.294257749	-0.100481738	-0.798234414	0.170208733	0.193402597	0.04247967	0.199798361	0.012378541	1.118970566	0.20914036	1.285751049	1.269457586	0.231442495	1.540035405	0.553397209	0.260882217	1.512012983	2.613861975	3.040935486	2.326292409	7.98108987	2.613861975	1.540035405	6.441054465	7.98108987	76	0.60	4.940154384																6310	HEATR1	-0.409	1	0.921376337	0.68324502	0.345721966	0.345721966	-0.184840794	1.184840794	7837118796	2223	0.206436564
487	403	777	641	6636	HEBP1	Q9NRV9	Q9NRV9	Heme-binding protein 1	HEBP1	sp|Q9NRV9|HEBP1_HUMAN Heme-binding protein 1 OS=Homo sapiens OX=9606 GN=HEBP1 PE=1 SV=1	0	6	5	3	10	6	4	4	4	7	3	0.399240604	0.082605216	-0.092766172	0.561869747	0.091109365	-0.034934397	0.473943568	0.070721283	-0.241366489	0.042523549	0.420792893	1.293466615	0.090646574	0.310541863	1.311698412	0.121933311	0.389959296	1.258267953	1.756783057	1.712886849	1.77016056	5.239830465	1.756783057	1.311698412	3.928132054	5.239830465	49	0.42	3.469669905																6636	HEBP1	0.112	1	0.987605439	0.995876121	0.969292987	0.969292987	0.752689271	0.247310729	200716971.8	541	0.820771957
813	620	1754	500	7608	HEBP2	Q9Y5Z4;Q9Y5Z4-2	Q9Y5Z4;Q9Y5Z4-2	Heme-binding protein 2	HEBP2	sp|Q9Y5Z4|HEBP2_HUMAN Heme-binding protein 2 OS=Homo sapiens OX=9606 GN=HEBP2 PE=1 SV=1;sp|Q9Y5Z4-2|HEBP2_HUMAN Isoform 2 of Heme-binding protein 2 OS=Homo sapiens OX=9606 GN=HEBP2	0	6	4	4	2	4	5	6	3	5	2	0.387278376	0.258539336	0.250945973	0.999520381	0.257880528	0.293695392	0.501312886	0.554810069	-0.042982967	0.03056132	0.244858772	1.637178759	0.528297208	0.1437707	1.6403282	0.094563992	0.094129491	1.456651475	1.912598852	2.312396108	1.645344958	5.870339918	1.912598852	1.6403282	4.230011718	5.870339918	39	0.30	3.55794381																7608	HEBP2	-0.084	1	0.995733537	0.472584117	0.389246998	0.389246998	0.588085164	0.411914836	543740000.7	835	0.695784061
1289	681	1695	1535	7253	HECTD1	Q9ULT8	Q9ULT8	E3 ubiquitin-protein ligase HECTD1	HECTD1	sp|Q9ULT8|HECD1_HUMAN E3 ubiquitin-protein ligase HECTD1 OS=Homo sapiens OX=9606 GN=HECTD1 PE=1 SV=3	0	11	8	11	11	11	8	10	7	7	7	0.346902766	0.223427355	0.276850769	-0.294229814	0.05065798	-0.177071407	-0.027589655	-0.018370766	-0.103265699	0.00981429	0.279970754	1.663083556	0.765452986	0.350993248	1.169561401	0.623466534	0.479051344	1.396368743	1.952868599	2.286007636	2.498886621	6.737762856	2.286007636	1.663083556	5.0746793	6.737762856	84	0.65	4.238876235																7253	HECTD1	-0.101	1	-0.966229561	-0.021518678	0.278415133	-0.966229561	0.09072726	0.90927274	1771842825	1260	0.368059925
1478	1226	1929	1338	3669	HECTD3	Q5T447;Q5T447-2	Q5T447;Q5T447-2	E3 ubiquitin-protein ligase HECTD3	HECTD3	sp|Q5T447|HECD3_HUMAN E3 ubiquitin-protein ligase HECTD3 OS=Homo sapiens OX=9606 GN=HECTD3 PE=1 SV=1;sp|Q5T447-2|HECD3_HUMAN Isoform 2 of E3 ubiquitin-protein ligase HECTD3 OS=Homo sapiens OX=9606 GN=HECTD3	0.00019384	2	1	3	4	3	3	2	2	4	1	-0.50828534	0.668262355	-0.208691709	-0.360267636	0.249810006	0.079069922	0.288617277	0.129255015	0.249851908	0.865002396	0.164864246	1.177541077	0.831490809	0.151841222	1.42570273	0.307259601	0.331425563	1.74948635	2.207407719	2.40903476	2.388171514	7.004613994	2.388171514	1.74948635	5.255127644	7.004613994	24	0.12	4.595579233																3669	HECTD3	0.086	1	0.865323198	-0.999926472	-0.859181612	-0.999926472	0.079699446	0.920300554	3164308453	1561	0.647898945
970	603	1084	1270	7524	HECTD4	Q9Y4D8-4;Q9Y4D8;Q9Y4D8-2;Q9Y4D8-3	Q9Y4D8-4;Q9Y4D8;Q9Y4D8-2	Probable E3 ubiquitin-protein ligase HECTD4	HECTD4	sp|Q9Y4D8-4|HECD4_HUMAN Isoform 4 of Probable E3 ubiquitin-protein ligase HECTD4 OS=Homo sapiens OX=9606 GN=HECTD4;sp|Q9Y4D8|HECD4_HUMAN Probable E3 ubiquitin-protein ligase HECTD4 OS=Homo sapiens OX=9606 GN=HECTD4 PE=1 SV=5;sp|Q9Y4D8-2|HECD4_HUMAN Isoform	0	4	4	2	4	5	3	6	4	6	2	-0.38813488	-0.09326392	-0.822106786	0.184261518	0.241067887	0.1580275	-0.005472777	0.57687911	0.126212954	0.744851936	0.596662029	0.564126001	0.286961654	0.160583341	1.504660308	0.601349655	0.116198532	1.625847396	1.905639965	1.952205303	2.343395582	6.201240851	1.952205303	1.625847396	4.575393455	6.201240851	38	0.29	3.857845268																7524	HECTD4	-0.008	1	0.949490811	0.659491737	0.862064631	0.659491737	0.32765787	0.67234213	830138040.4	972	0.407126965
1192	721	1050	1968	3347	HERC1	Q15751	Q15751	Probable E3 ubiquitin-protein ligase HERC1	HERC1	sp|Q15751|HERC1_HUMAN Probable E3 ubiquitin-protein ligase HERC1 OS=Homo sapiens OX=9606 GN=HERC1 PE=1 SV=2	0	5	7	5	5	6	3	2	5	1	1	-0.036211808	0.098016777	-0.215345695	-0.112756943	0.101909896	-0.29914544	-0.40527028	-0.034291507	-0.292440673	0.392928864	0.405381332	1.170887092	0.583980116	0.299741332	1.047487368	1.001147158	0.494972086	1.207193769	1.969197287	1.931208815	2.703313013	6.603719115	1.969197287	1.207193769	5.396525346	6.603719115	39	0.30	3.900406102																3347	HERC1	-0.256	1	0.992416353	0.61585381	0.708028661	0.61585381	0.524942746	0.475057254	1489874400	1184	0.435748123
1833	2029	1119	2432	3594	HERC4	Q5GLZ8-2;Q5GLZ8;Q5GLZ8-3;Q5GLZ8-6;Q5GLZ8-4;Q5GLZ8-5	Q5GLZ8-2;Q5GLZ8;Q5GLZ8-3;Q5GLZ8-6	Probable E3 ubiquitin-protein ligase HERC4	HERC4	sp|Q5GLZ8-2|HERC4_HUMAN Isoform 2 of Probable E3 ubiquitin-protein ligase HERC4 OS=Homo sapiens OX=9606 GN=HERC4;sp|Q5GLZ8|HERC4_HUMAN Probable E3 ubiquitin-protein ligase HERC4 OS=Homo sapiens OX=9606 GN=HERC4 PE=1 SV=1;sp|Q5GLZ8-3|HERC4_HUMAN Isoform 3 o	0	5	3	7	6	6	6	6	10	5	3	-0.247158662	0.21261065	0.249650227	0.201064177	0.794240798	-0.029999938	-0.054543609	-0.070245914	0.240899249	0.603875717	0.290787459	1.635883013	0.270158996	0.39258957	1.31663287	0.650420487	0.530926492	1.740533691	2.53054619	1.979381436	2.921880671	7.431808296	2.53054619	1.740533691	5.691274605	7.431808296	54	0.46	4.509927626																3594	HERC4	-0.015	1	0.18044748	0.519066757	-0.747038637	-0.747038637	-0.040434438	1.040434438	5521736833	1932	0.994549121
2018	134	3097	2416	7134	HERC5	Q9UII4	Q9UII4	E3 ISG15--protein ligase HERC5	HERC5	sp|Q9UII4|HERC5_HUMAN E3 ISG15--protein ligase HERC5 OS=Homo sapiens OX=9606 GN=HERC5 PE=1 SV=2	0	3	5	3	8	5	4	3	3	2	2	-0.345214175	0.228460091	-1.0851511	-0.790522481	0.038456616	0.481108226	-0.748805421	0.362087502	-0.028272032	0.701931231	0.274938018	0.301081686	1.261745654	0.363194612	1.827741034	1.3446823	0.098593076	1.471362409	1.277950935	3.4526813	2.914637785	7.64527002	2.914637785	1.827741034	5.817528987	7.64527002	36	0.27	4.192588721																7134	HERC5	-0.277	1	-0.410414337	0.277039604	0.76250503	-0.410414337	-0.011511078	1.011511078	1002635169	1042	0.822371297
1683	2413	1916	988	1095	HEXA	P06865;P06865-2	P06865	Beta-hexosaminidase subunit alpha	HEXA	sp|P06865|HEXA_HUMAN Beta-hexosaminidase subunit alpha OS=Homo sapiens OX=9606 GN=HEXA PE=1 SV=2	0	6	8	3	6	6	7	5	5	4	3	-0.4051579	-0.049814349	0.027375649	0.156701462	0.053656605	0.392282077	-0.237129282	0.186836806	-0.47074534	0.761874955	0.553212458	1.413608435	0.31452171	0.347994623	1.738914885	0.833006161	0.273843773	1.028889102	2.728695848	2.401431219	2.135739035	7.265866103	2.401431219	1.738914885	5.526951218	7.265866103	50	0.43	4.537170254																1095	HEXA	0.076	1	0.380493608	-0.002496555	-0.925730591	-0.925730591	-0.021082188	1.021082188	4567828304	1798	0.480014008
1338	2969	144	1515	1110	HEXB	P07686	P07686	Beta-hexosaminidase subunit beta;Beta-hexosaminidase subunit beta chain B;Beta-hexosaminidase subunit beta chain A	HEXB	sp|P07686|HEXB_HUMAN Beta-hexosaminidase subunit beta OS=Homo sapiens OX=9606 GN=HEXB PE=1 SV=3	0	6	7	2	10	6	1	9	6	1	1	-0.629246244	-0.256903938	0.096821962	-0.1248989	0.326192982	-1.776936171	-0.253619711	-0.092280457	-0.411739602	0.985963299	0.760302047	1.483054748	0.596122073	0.075458246	0.430303363	0.84949659	0.552961036	1.08789484	3.229320095	1.101883682	2.490352466	6.821556242	2.490352466	1.483054748	5.338501494	6.821556242	48	0.41	3.592236148																1110	HEXB	-0.215	1	-0.73607832	-0.482037179	0.947880395	-0.73607832	0.41853751	0.58146249	647717040.6	886	0.611922142
2494	1899	2450	2753	5909	HGH1	Q9BTY7	Q9BTY7	Protein HGH1 homolog	HGH1	sp|Q9BTY7|HGH1_HUMAN Protein HGH1 homolog OS=Homo sapiens OX=9606 GN=HGH1 PE=1 SV=1	0	3	5	2	8	7	5	5	6	8	2	-0.102725288	0.079684075	0.213251259	-0.122737594	-0.421717588	-0.085755121	-0.358512695	-0.075559344	0.137926125	0.459442343	0.423714033	1.599484045	0.593960767	0.823368816	1.260877687	0.954389573	0.536239922	1.637560567	2.482640422	2.67820727	3.128190062	8.289037754	2.67820727	1.637560567	6.651477188	8.289037754	49	0.42	5.160847692																5909	HGH1	-0.249	1	0.011535241	0.999964776	0.019927555	0.011535241	-0.615605186	1.615605186	12808470150	2583	0.359928373
976	347	1072	1682	273	HGS	O14964;O14964-2	O14964;O14964-2	Hepatocyte growth factor-regulated tyrosine kinase substrate	HGS	sp|O14964|HGS_HUMAN Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens OX=9606 GN=HGS PE=1 SV=1;sp|O14964-2|HGS_HUMAN Isoform 2 of Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens OX=9606 GN=HGS	0	5	11	12	7	12	15	5	9	10	5	0.042276829	-0.052711328	-0.560993453	0.011009097	-0.188042832	-0.45040288	0.018343663	-0.275223948	-0.240172204	0.314440227	0.556109437	0.825239333	0.460214075	0.58969406	0.896229928	0.577533216	0.735904527	1.259462237	1.695788996	1.946138064	2.57289998	6.21482704	1.946138064	1.259462237	4.955364802	6.21482704	86	0.66	3.64192706																273	HGS	-0.013	1	0.956042342	0.532047813	0.75694113	0.532047813	0.785490125	0.214509875	625677088.2	872	0.176303875
59	20	563	201	5624	HHIP	Q96QV1;Q96QV1-2	Q96QV1	Hedgehog-interacting protein	HHIP	sp|Q96QV1|HHIP_HUMAN Hedgehog-interacting protein OS=Homo sapiens OX=9606 GN=HHIP PE=1 SV=3	0.00018893	5	3	3	2	2	3	4	1	3	1	0.152739003	0.293837689	-1.245375361	-0.101838678	0.463513993	-0.473817793	0.448768535	0.973260694	-0.824609533	0.203978053	0.209560419	0.140857425	0.573061851	0.061862765	0.872815015	0.147108343	0.512580116	0.675024909	0.554395898	1.507739631	1.334713368	3.396848897	1.334713368	0.872815015	2.524033881	3.396848897	26	0.15	1.889109265																5624	HHIP	0.285	1	0.847712393	0.979146318	0.937799978	0.847712393	0.873385912	0.126614088	2263260.796	79	0.795942003
3286	3148	3251	3318	3862	HIBCH	Q6NVY1;Q6NVY1-2	Q6NVY1;Q6NVY1-2	"3-hydroxyisobutyryl-CoA hydrolase, mitochondrial"	HIBCH	"sp|Q6NVY1|HIBCH_HUMAN 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=HIBCH PE=1 SV=2;sp|Q6NVY1-2|HIBCH_HUMAN Isoform 2 of 3-hydroxyisobutyryl-CoA hydrolase, mitochondrial OS=Homo sapiens OX=9606 GN=HIBCH"	0	1	2	3	2	1	1	1	2	1	1	-0.689700636	-0.117323905	0.559887702	-1.279021579	0.100391633	0.774862752	-1.587766062	-0.305410093	1.031441874	1.046417692	0.620722013	1.946120489	1.750244752	0.301259595	2.12149556	2.18364294	0.766090671	2.531076316	3.613260194	4.172999907	5.480809928	13.26707003	4.172999907	2.531076316	10.73599371	13.26707003	14	0.02	7.786260101																3862	HIBCH	-0.584	1	0.970373271	0.999338054	0.978520566	0.970373271	-0.821532065	1.821532065	33956903065	3274	0.960432394
2287	2247	2456	1833	6780	HIF1AN	Q9NWT6	Q9NWT6	Hypoxia-inducible factor 1-alpha inhibitor	HIF1AN	sp|Q9NWT6|HIF1N_HUMAN Hypoxia-inducible factor 1-alpha inhibitor OS=Homo sapiens OX=9606 GN=HIF1AN PE=1 SV=2	0	4	4	3	3	3	2	3	3	2	2	0.060301474	-0.540979791	-0.090825058	-0.086088906	-0.305185116	0.071908382	0.188022486	-0.196838831	0.080107519	0.296415581	1.0443779	1.295407728	0.557312079	0.706836344	1.41854119	0.407854393	0.657519409	1.579741961	2.636201209	2.682689613	2.645115763	7.964006585	2.645115763	1.579741961	6.384264624	7.964006585	27	0.16	5.281316972																6780	HIF1AN	-0.074	1	0.781132867	0.999511233	0.761232362	0.761232362	-0.358230222	1.358230222	10115652457	2414	0.741250554
1580	1530	1267	2018	2071	HINT1	P49773	P49773	Histidine triad nucleotide-binding protein 1	HINT1	sp|P49773|HINT1_HUMAN Histidine triad nucleotide-binding protein 1 OS=Homo sapiens OX=9606 GN=HINT1 PE=1 SV=2	0	14	14	14	13	24	16	17	23	20	13	0.163961661	-0.147403821	0.106354648	0.201026253	0.014003818	0.072732006	0.051063554	-0.123604678	0.093336797	0.192755394	0.65080193	1.492587435	0.27019692	0.38764741	1.419364814	0.544813324	0.584285257	1.592971239	2.336144758	2.077209143	2.72206982	7.135423722	2.336144758	1.592971239	5.542452482	7.135423722	155	0.84	4.413353902																2071	HINT1	-0.016	1	0.847052265	0.936039372	0.605838545	0.605838545	-0.290048649	1.290048649	3911913181	1694	0.888027902
