Obs ID (Primary)	Obs ID ($ClassID)	Obs ID (Lead gene name)	Obs ID (Protein names)	Obs ID (Gene names)	Obs ID (Fasta headers)	Obs ID (Obs. Sec. ID:5)	Obs ID (Annotation Organelles)	Obs ID (Min Ratio count)	Class	M1.t[1]	M1.t[2]
7267		EPDR1	Mammalian ependymin-related protein 1	EPDR1	sp|Q9UM22|EPDR1_HUMAN Mammalian ependymin-related protein 1 OS=Homo sapiens OX=9606 GN=EPDR1 PE=1 SV=2;sp|Q9UM22-3|EPDR1_HUMAN Isoform 3 of Mammalian ependymin-related protein 1 OS=Homo sapiens OX=9606 GN=EPDR1			2	---	-1.5877	0.795768
368		ZZEF1	Zinc finger ZZ-type and EF-hand domain-containing protein 1	ZZEF1	sp|O43149|ZZEF1_HUMAN Zinc finger ZZ-type and EF-hand domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ZZEF1 PE=1 SV=6			8	---	0.0197828	1.42876
1704		NMT1	Glycylpeptide N-tetradecanoyltransferase 1	NMT1	sp|P30419|NMT1_HUMAN Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens OX=9606 GN=NMT1 PE=1 SV=2;sp|P30419-2|NMT1_HUMAN Isoform Short of Glycylpeptide N-tetradecanoyltransferase 1 OS=Homo sapiens OX=9606 GN=NMT1			2	---	-1.24973	1.18408
1727		DNAJA1	DnaJ homolog subfamily A member 1	DNAJA1	sp|P31689|DNJA1_HUMAN DnaJ homolog subfamily A member 1 OS=Homo sapiens OX=9606 GN=DNAJA1 PE=1 SV=2;sp|P31689-2|DNJA1_HUMAN Isoform 2 of DnaJ homolog subfamily A member 1 OS=Homo sapiens OX=9606 GN=DNAJA1			16	---	0.61311	1.60518
733		RNASEH2A	Ribonuclease H2 subunit A	RNASEH2A	sp|O75792|RNH2A_HUMAN Ribonuclease H2 subunit A OS=Homo sapiens OX=9606 GN=RNASEH2A PE=1 SV=2			7	---	-0.712316	-0.152449
3361		UBE2V2	Ubiquitin-conjugating enzyme E2 variant 2	UBE2V2	sp|Q15819|UB2V2_HUMAN Ubiquitin-conjugating enzyme E2 variant 2 OS=Homo sapiens OX=9606 GN=UBE2V2 PE=1 SV=4			5	---	0.51956	-1.08654
3364		VAMP3	Vesicle-associated membrane protein 3	VAMP3	sp|Q15836|VAMP3_HUMAN Vesicle-associated membrane protein 3 OS=Homo sapiens OX=9606 GN=VAMP3 PE=1 SV=3			1	---	1.77176	-0.26621
3540		PARP10	Poly [ADP-ribose] polymerase 10	PARP10	sp|Q53GL7|PAR10_HUMAN Protein mono-ADP-ribosyltransferase PARP10 OS=Homo sapiens OX=9606 GN=PARP10 PE=1 SV=2			3	---	-0.502795	1.16129
5605		TRNT1	CCA tRNA nucleotidyltransferase 1, mitochondrial	TRNT1	sp|Q96Q11|TRNT1_HUMAN CCA tRNA nucleotidyltransferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=TRNT1 PE=1 SV=2;sp|Q96Q11-2|TRNT1_HUMAN Isoform 2 of CCA tRNA nucleotidyltransferase 1, mitochondrial OS=Homo sapiens OX=9606 GN=TRNT1			3	---	-1.50853	-0.643174
5819		TXNDC17	Thioredoxin domain-containing protein 17	TXNDC17	sp|Q9BRA2|TXD17_HUMAN Thioredoxin domain-containing protein 17 OS=Homo sapiens OX=9606 GN=TXNDC17 PE=1 SV=1			5	---	-0.222442	-0.83975
5145		SEMA4D	Semaphorin-4D	SEMA4D	sp|Q92854|SEM4D_HUMAN Semaphorin-4D OS=Homo sapiens OX=9606 GN=SEMA4D PE=1 SV=1			4	---	0.508149	-0.0805575
2298		EIF3B	Eukaryotic translation initiation factor 3 subunit B	EIF3B	sp|P55884|EIF3B_HUMAN Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B PE=1 SV=3;sp|P55884-2|EIF3B_HUMAN Isoform 2 of Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens OX=9606 GN=EIF3B			13	---	-1.07376	0.766178
2716		GBE1	1,4-alpha-glucan-branching enzyme	GBE1	sp|Q04446|GLGB_HUMAN 1,4-alpha-glucan-branching enzyme OS=Homo sapiens OX=9606 GN=GBE1 PE=1 SV=3			4	---	-1.01151	-1.78197
6895		HSPBP1	Hsp70-binding protein 1	HSPBP1	sp|Q9NZL4-3|HPBP1_HUMAN Isoform 3 of Hsp70-binding protein 1 OS=Homo sapiens OX=9606 GN=HSPBP1;sp|Q9NZL4|HPBP1_HUMAN Hsp70-binding protein 1 OS=Homo sapiens OX=9606 GN=HSPBP1 PE=1 SV=2			4	---	-0.443216	-1.22861
3624		PCID2	PCI domain-containing protein 2	PCID2	sp|Q5JVF3-3|PCID2_HUMAN Isoform 3 of PCI domain-containing protein 2 OS=Homo sapiens OX=9606 GN=PCID2;sp|Q5JVF3|PCID2_HUMAN PCI domain-containing protein 2 OS=Homo sapiens OX=9606 GN=PCID2 PE=1 SV=2;sp|Q5JVF3-2|PCID2_HUMAN Isoform 2 of PCI domain-containin			5	---	-0.532971	0.0511901
2884		ACACA	Acetyl-CoA carboxylase 1;Biotin carboxylase	ACACA	sp|Q13085|ACACA_HUMAN Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA PE=1 SV=2;sp|Q13085-4|ACACA_HUMAN Isoform 4 of Acetyl-CoA carboxylase 1 OS=Homo sapiens OX=9606 GN=ACACA;sp|Q13085-3|ACACA_HUMAN Isoform 3 of Acetyl-CoA carboxylase 1 OS=Homo s			8	---	-1.29774	0.376749
2111		RASSF2	Ras association domain-containing protein 2	RASSF2	sp|P50749|RASF2_HUMAN Ras association domain-containing protein 2 OS=Homo sapiens OX=9606 GN=RASSF2 PE=1 SV=1			5	---	0.514977	-1.39684
1065		SSB	Lupus La protein	SSB	sp|P05455|LA_HUMAN Lupus La protein OS=Homo sapiens OX=9606 GN=SSB PE=1 SV=2			11	---	-1.19459	-0.654238
4096					sp|Q7KZI7-14|MARK2_HUMAN Isoform 14 of Serine/threonine-protein kinase MARK2 OS=Homo sapiens OX=9606 GN=MARK2;sp|Q7KZI7-13|MARK2_HUMAN Isoform 13 of Serine/threonine-protein kinase MARK2 OS=Homo sapiens OX=9606 GN=MARK2			10	---	0.364844	0.0630309
6049		GNB1L	Guanine nucleotide-binding protein subunit beta-like protein 1	GNB1L	sp|Q9BYB4|GNB1L_HUMAN Guanine nucleotide-binding protein subunit beta-like protein 1 OS=Homo sapiens OX=9606 GN=GNB1L PE=1 SV=2;sp|Q9BYB4-2|GNB1L_HUMAN Isoform 2 of Guanine nucleotide-binding protein subunit beta-like protein 1 OS=Homo sapiens OX=9606 GN=G			2	---	0.383525	0.477217
2557		PRKDC	DNA-dependent protein kinase catalytic subunit	PRKDC	sp|P78527|PRKDC_HUMAN DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC PE=1 SV=3;sp|P78527-2|PRKDC_HUMAN Isoform 2 of DNA-dependent protein kinase catalytic subunit OS=Homo sapiens OX=9606 GN=PRKDC			53	---	-1.20155	0.526113
4381		ARMC8	Armadillo repeat-containing protein 8	ARMC8	sp|Q8IUR7|ARMC8_HUMAN Armadillo repeat-containing protein 8 OS=Homo sapiens OX=9606 GN=ARMC8 PE=1 SV=2;sp|Q8IUR7-7|ARMC8_HUMAN Isoform 7 of Armadillo repeat-containing protein 8 OS=Homo sapiens OX=9606 GN=ARMC8;sp|Q8IUR7-2|ARMC8_HUMAN Isoform 2 of Armadill			4	---	-0.511239	0.972871
6118		XPO4	Exportin-4	XPO4	sp|Q9C0E2|XPO4_HUMAN Exportin-4 OS=Homo sapiens OX=9606 GN=XPO4 PE=1 SV=2			1	---	-0.957697	1.17153
6921		KCMF1	E3 ubiquitin-protein ligase KCMF1	KCMF1	sp|Q9P0J7|KCMF1_HUMAN E3 ubiquitin-protein ligase KCMF1 OS=Homo sapiens OX=9606 GN=KCMF1 PE=1 SV=2			1	---	-0.615022	0.427802
2252		BCAT1	Branched-chain-amino-acid aminotransferase, cytosolic	BCAT1	sp|P54687-4|BCAT1_HUMAN Isoform 4 of Branched-chain-amino-acid aminotransferase, cytosolic OS=Homo sapiens OX=9606 GN=BCAT1;sp|P54687|BCAT1_HUMAN Branched-chain-amino-acid aminotransferase, cytosolic OS=Homo sapiens OX=9606 GN=BCAT1 PE=1 SV=3;sp|P54687-5|B			7	---	-0.169516	-1.62804
3615		RRP12	RRP12-like protein	RRP12	sp|Q5JTH9-2|RRP12_HUMAN Isoform 2 of RRP12-like protein OS=Homo sapiens OX=9606 GN=RRP12;sp|Q5JTH9-3|RRP12_HUMAN Isoform 3 of RRP12-like protein OS=Homo sapiens OX=9606 GN=RRP12;sp|Q5JTH9|RRP12_HUMAN RRP12-like protein OS=Homo sapiens OX=9606 GN=RRP12 PE=1			4	---	-1.3309	0.746326
1971		RPS10	40S ribosomal protein S10	RPS10	sp|P46783|RS10_HUMAN 40S ribosomal protein S10 OS=Homo sapiens OX=9606 GN=RPS10 PE=1 SV=1			5	---	-2.06704	0.72113
2065		RBM25	RNA-binding protein 25	RBM25	sp|P49756|RBM25_HUMAN RNA-binding protein 25 OS=Homo sapiens OX=9606 GN=RBM25 PE=1 SV=3;sp|P49756-2|RBM25_HUMAN Isoform 2 of RNA-binding protein 25 OS=Homo sapiens OX=9606 GN=RBM25;sp|P49756-3|RBM25_HUMAN Isoform 3 of RNA-binding protein 25 OS=Homo sapiens			3	---	-0.570098	1.66941
2510		DYNLT1	Dynein light chain Tctex-type 1	DYNLT1	sp|P63172|DYLT1_HUMAN Dynein light chain Tctex-type 1 OS=Homo sapiens OX=9606 GN=DYNLT1 PE=1 SV=1			1	---	-1.19735	-0.207041
5846		GINS3	DNA replication complex GINS protein PSF3	GINS3	sp|Q9BRX5|PSF3_HUMAN DNA replication complex GINS protein PSF3 OS=Homo sapiens OX=9606 GN=GINS3 PE=1 SV=1;sp|Q9BRX5-3|PSF3_HUMAN Isoform 3 of DNA replication complex GINS protein PSF3 OS=Homo sapiens OX=9606 GN=GINS3;sp|Q9BRX5-2|PSF3_HUMAN Isoform 2 of DNA			2	---	-1.09909	-1.42147
6144		WDR61	WD repeat-containing protein 61;WD repeat-containing protein 61, N-terminally processed	WDR61	sp|Q9GZS3|WDR61_HUMAN WD repeat-containing protein 61 OS=Homo sapiens OX=9606 GN=WDR61 PE=1 SV=1			5	---	-1.418	-0.0171153
6829		BRE	BRCA1-A complex subunit BRE	BRE	sp|Q9NXR7|BABA2_HUMAN BRISC and BRCA1-A complex member 2 OS=Homo sapiens OX=9606 GN=BABAM2 PE=1 SV=2;sp|Q9NXR7-4|BABA2_HUMAN Isoform 4 of BRISC and BRCA1-A complex member 2 OS=Homo sapiens OX=9606 GN=BABAM2;sp|Q9NXR7-3|BABA2_HUMAN Isoform 3 of BRISC and BR			1	---	-0.40782	0.132885
2615		ATP11A	Probable phospholipid-transporting ATPase IH	ATP11A	sp|P98196|AT11A_HUMAN Probable phospholipid-transporting ATPase IH OS=Homo sapiens OX=9606 GN=ATP11A PE=1 SV=3			4	---	1.388	-1.53904
4393		DENND1C	DENN domain-containing protein 1C	DENND1C	sp|Q8IV53-2|DEN1C_HUMAN Isoform 2 of DENN domain-containing protein 1C OS=Homo sapiens OX=9606 GN=DENND1C;sp|Q8IV53|DEN1C_HUMAN DENN domain-containing protein 1C OS=Homo sapiens OX=9606 GN=DENND1C PE=1 SV=1			2	---	-0.527344	-1.49657
5806		TUBA1C	Tubulin alpha-1C chain	TUBA1C	sp|Q9BQE3|TBA1C_HUMAN Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1			5	---	-0.605653	0.574411
347		IPO8	Importin-8	IPO8	sp|O15397|IPO8_HUMAN Importin-8 OS=Homo sapiens OX=9606 GN=IPO8 PE=1 SV=2;sp|O15397-2|IPO8_HUMAN Isoform 2 of Importin-8 OS=Homo sapiens OX=9606 GN=IPO8			2	---	-1.2969	-0.908154
1724		TIA1	Nucleolysin TIA-1 isoform p40	TIA1	sp|P31483|TIA1_HUMAN Nucleolysin TIA-1 isoform p40 OS=Homo sapiens OX=9606 GN=TIA1 PE=1 SV=3;sp|P31483-3|TIA1_HUMAN Isoform 3 of Nucleolysin TIA-1 isoform p40 OS=Homo sapiens OX=9606 GN=TIA1			3	---	-0.807078	1.26674
2319		HSD17B7	3-keto-steroid reductase	HSD17B7	sp|P56937-3|DHB7_HUMAN Isoform 3 of 3-keto-steroid reductase OS=Homo sapiens OX=9606 GN=HSD17B7;sp|P56937|DHB7_HUMAN 3-keto-steroid reductase OS=Homo sapiens OX=9606 GN=HSD17B7 PE=1 SV=1;sp|P56937-2|DHB7_HUMAN Isoform 2 of 3-keto-steroid reductase OS=Homo			1	---	-3.30286	-2.76776
1555		DGKA	Diacylglycerol kinase alpha	DGKA	sp|P23743|DGKA_HUMAN Diacylglycerol kinase alpha OS=Homo sapiens OX=9606 GN=DGKA PE=1 SV=3			13	---	0.0150727	1.1785
4685		PDDC1	Parkinson disease 7 domain-containing protein 1	PDDC1	sp|Q8NB37|GALD1_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=GATD1 PE=1 SV=1;sp|Q8NB37-2|GALD1_HUMAN Isoform 2 of Glutamine amidotransferase-like class 1 domain-containing protein 1 OS=Homo sapiens OX			2	---	-1.11896	-0.264746
2534		PAFAH1B2	Platelet-activating factor acetylhydrolase IB subunit beta	PAFAH1B2	sp|P68402|PA1B2_HUMAN Platelet-activating factor acetylhydrolase IB subunit beta OS=Homo sapiens OX=9606 GN=PAFAH1B2 PE=1 SV=1;sp|P68402-3|PA1B2_HUMAN Isoform 3 of Platelet-activating factor acetylhydrolase IB subunit beta OS=Homo sapiens OX=9606 GN=PAFAH1			3	---	-0.000303005	0.0927269
3231		ARHGEF6	Rho guanine nucleotide exchange factor 6	ARHGEF6	sp|Q15052|ARHG6_HUMAN Rho guanine nucleotide exchange factor 6 OS=Homo sapiens OX=9606 GN=ARHGEF6 PE=1 SV=2;sp|Q15052-2|ARHG6_HUMAN Isoform 2 of Rho guanine nucleotide exchange factor 6 OS=Homo sapiens OX=9606 GN=ARHGEF6			14	---	0.542146	0.021517
3467		SMU1	WD40 repeat-containing protein SMU1;WD40 repeat-containing protein SMU1, N-terminally processed	SMU1	sp|Q2TAY7|SMU1_HUMAN WD40 repeat-containing protein SMU1 OS=Homo sapiens OX=9606 GN=SMU1 PE=1 SV=2;sp|Q2TAY7-2|SMU1_HUMAN Isoform 2 of WD40 repeat-containing protein SMU1 OS=Homo sapiens OX=9606 GN=SMU1			7	---	-1.57855	0.862411
7043		STK39	STE20/SPS1-related proline-alanine-rich protein kinase	STK39	sp|Q9UEW8-2|STK39_HUMAN Isoform 2 of STE20/SPS1-related proline-alanine-rich protein kinase OS=Homo sapiens OX=9606 GN=STK39;sp|Q9UEW8|STK39_HUMAN STE20/SPS1-related proline-alanine-rich protein kinase OS=Homo sapiens OX=9606 GN=STK39 PE=1 SV=3			7	---	0.0357832	0.326944
1290		XRCC5	X-ray repair cross-complementing protein 5	XRCC5	sp|P13010|XRCC5_HUMAN X-ray repair cross-complementing protein 5 OS=Homo sapiens OX=9606 GN=XRCC5 PE=1 SV=3			21	---	-1.31123	0.618572
2074		RANBP2	E3 SUMO-protein ligase RanBP2	RANBP2	sp|P49792|RBP2_HUMAN E3 SUMO-protein ligase RanBP2 OS=Homo sapiens OX=9606 GN=RANBP2 PE=1 SV=2			14	---	-1.01328	0.575377
7442		NOSIP	Nitric oxide synthase-interacting protein	NOSIP	sp|Q9Y314|NOSIP_HUMAN Nitric oxide synthase-interacting protein OS=Homo sapiens OX=9606 GN=NOSIP PE=1 SV=1			3	---	-0.83514	-0.197573
7224		PSME2	Proteasome activator complex subunit 2	PSME2	sp|Q9UL46|PSME2_HUMAN Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=4			5	---	-1.12367	-0.830048
5901		PI4K2A	Phosphatidylinositol 4-kinase type 2-alpha	PI4K2A	sp|Q9BTU6|P4K2A_HUMAN Phosphatidylinositol 4-kinase type 2-alpha OS=Homo sapiens OX=9606 GN=PI4K2A PE=1 SV=1			6	---	2.47718	0.997084
3700		DDI2	Protein DDI1 homolog 2	DDI2	sp|Q5TDH0-3|DDI2_HUMAN Isoform 3 of Protein DDI1 homolog 2 OS=Homo sapiens OX=9606 GN=DDI2;sp|Q5TDH0|DDI2_HUMAN Protein DDI1 homolog 2 OS=Homo sapiens OX=9606 GN=DDI2 PE=1 SV=1;sp|Q5TDH0-2|DDI2_HUMAN Isoform 2 of Protein DDI1 homolog 2 OS=Homo sapiens OX=9			6	---	-1.51451	0.362288
2532		TUBB4B	Tubulin beta-4B chain	TUBB4B	sp|P68371|TBB4B_HUMAN Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1			11	---	-0.31872	0.922102
2139		GALK1	Galactokinase	GALK1	sp|P51570|GALK1_HUMAN Galactokinase OS=Homo sapiens OX=9606 GN=GALK1 PE=1 SV=1;sp|P51570-2|GALK1_HUMAN Isoform 2 of Galactokinase OS=Homo sapiens OX=9606 GN=GALK1			13	---	-0.700808	-0.215535
1366		RPA2	Replication protein A 32 kDa subunit	RPA2	sp|P15927|RFA2_HUMAN Replication protein A 32 kDa subunit OS=Homo sapiens OX=9606 GN=RPA2 PE=1 SV=1;sp|P15927-2|RFA2_HUMAN Isoform 2 of Replication protein A 32 kDa subunit OS=Homo sapiens OX=9606 GN=RPA2;sp|P15927-3|RFA2_HUMAN Isoform 3 of Replication pro			4	---	-0.86062	-0.172551
2493		PPIA	Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed	PPIA	sp|P62937|PPIA_HUMAN Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2;sp|P62937-2|PPIA_HUMAN Isoform 2 of Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA			46	---	0.492944	1.13242
1888		IARS	Isoleucine--tRNA ligase, cytoplasmic	IARS	sp|P41252|SYIC_HUMAN Isoleucine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=IARS PE=1 SV=2			41	---	-0.324028	1.58098
4873		NT5C	5(3)-deoxyribonucleotidase, cytosolic type	NT5C	sp|Q8TCD5|NT5C_HUMAN 5(3)-deoxyribonucleotidase, cytosolic type OS=Homo sapiens OX=9606 GN=NT5C PE=1 SV=2			2	---	-0.0901334	0.0145951
1115		EPRS	Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase;Proline--tRNA ligase	EPRS	sp|P07814|SYEP_HUMAN Bifunctional glutamate/proline--tRNA ligase OS=Homo sapiens OX=9606 GN=EPRS PE=1 SV=5			39	---	-0.115826	1.55632
7344		SMC3	Structural maintenance of chromosomes protein 3	SMC3	sp|Q9UQE7|SMC3_HUMAN Structural maintenance of chromosomes protein 3 OS=Homo sapiens OX=9606 GN=SMC3 PE=1 SV=2			15	---	-1.05403	1.6672
7115		EIF2B4	Translation initiation factor eIF-2B subunit delta	EIF2B4	sp|Q9UI10-3|EI2BD_HUMAN Isoform 3 of Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4;sp|Q9UI10-2|EI2BD_HUMAN Isoform 2 of Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4			2	---	-1.76365	0.449683
7216		BAG5	BAG family molecular chaperone regulator 5	BAG5	sp|Q9UL15|BAG5_HUMAN BAG family molecular chaperone regulator 5 OS=Homo sapiens OX=9606 GN=BAG5 PE=1 SV=1;sp|Q9UL15-2|BAG5_HUMAN Isoform 2 of BAG family molecular chaperone regulator 5 OS=Homo sapiens OX=9606 GN=BAG5			5	---	1.57757	1.15731
5856		NTPCR	Cancer-related nucleoside-triphosphatase	NTPCR	sp|Q9BSD7|NTPCR_HUMAN Cancer-related nucleoside-triphosphatase OS=Homo sapiens OX=9606 GN=NTPCR PE=1 SV=1			5	---	-0.963558	-0.140503
5072		SLC7A6	Y+L amino acid transporter 2	SLC7A6	sp|Q92536|YLAT2_HUMAN Y+L amino acid transporter 2 OS=Homo sapiens OX=9606 GN=SLC7A6 PE=1 SV=3			1	---	1.08104	-1.0134
6996		SAE1	SUMO-activating enzyme subunit 1;SUMO-activating enzyme subunit 1, N-terminally processed	SAE1	sp|Q9UBE0|SAE1_HUMAN SUMO-activating enzyme subunit 1 OS=Homo sapiens OX=9606 GN=SAE1 PE=1 SV=1;sp|Q9UBE0-2|SAE1_HUMAN Isoform 2 of SUMO-activating enzyme subunit 1 OS=Homo sapiens OX=9606 GN=SAE1;sp|Q9UBE0-3|SAE1_HUMAN Isoform 3 of SUMO-activating enzyme			4	---	-1.54286	-1.55417
3180		CHD4	Chromodomain-helicase-DNA-binding protein 4	CHD4	sp|Q14839|CHD4_HUMAN Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4 PE=1 SV=2;sp|Q14839-2|CHD4_HUMAN Isoform 2 of Chromodomain-helicase-DNA-binding protein 4 OS=Homo sapiens OX=9606 GN=CHD4			12	---	-1.31728	0.599541
1692		PEBP1	Phosphatidylethanolamine-binding protein 1;Hippocampal cholinergic neurostimulating peptide	PEBP1	sp|P30086|PEBP1_HUMAN Phosphatidylethanolamine-binding protein 1 OS=Homo sapiens OX=9606 GN=PEBP1 PE=1 SV=3			4	---	-0.389827	-0.439587
6734		FANCI	Fanconi anemia group I protein	FANCI	sp|Q9NVI1|FANCI_HUMAN Fanconi anemia group I protein OS=Homo sapiens OX=9606 GN=FANCI PE=1 SV=4;sp|Q9NVI1-1|FANCI_HUMAN Isoform 1 of Fanconi anemia group I protein OS=Homo sapiens OX=9606 GN=FANCI;sp|Q9NVI1-2|FANCI_HUMAN Isoform 2 of Fanconi anemia group I			3	---	-1.46652	-0.0999591
1785		PTPN7	Tyrosine-protein phosphatase non-receptor type 7	PTPN7	sp|P35236|PTN7_HUMAN Tyrosine-protein phosphatase non-receptor type 7 OS=Homo sapiens OX=9606 GN=PTPN7 PE=1 SV=3;sp|P35236-2|PTN7_HUMAN Isoform 2 of Tyrosine-protein phosphatase non-receptor type 7 OS=Homo sapiens OX=9606 GN=PTPN7;sp|P35236-3|PTN7_HUMAN Is			5	---	0.307614	0.648901
1480		RAB6A	Ras-related protein Rab-6A	RAB6A	sp|P20340-2|RAB6A_HUMAN Isoform 2 of Ras-related protein Rab-6A OS=Homo sapiens OX=9606 GN=RAB6A;sp|P20340-4|RAB6A_HUMAN Isoform 4 of Ras-related protein Rab-6A OS=Homo sapiens OX=9606 GN=RAB6A			9	---	1.29462	0.0173806
2841		MAP4K2	Mitogen-activated protein kinase kinase kinase kinase 2	MAP4K2	sp|Q12851-2|M4K2_HUMAN Isoform 2 of Mitogen-activated protein kinase kinase kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP4K2;sp|Q12851|M4K2_HUMAN Mitogen-activated protein kinase kinase kinase kinase 2 OS=Homo sapiens OX=9606 GN=MAP4K2 PE=1 SV=2			1	---	-0.557196	-0.515464
3498		RABL6	Rab-like protein 6	RABL6	sp|Q3YEC7|RABL6_HUMAN Rab-like protein 6 OS=Homo sapiens OX=9606 GN=RABL6 PE=1 SV=2;sp|Q3YEC7-2|RABL6_HUMAN Isoform 2 of Rab-like protein 6 OS=Homo sapiens OX=9606 GN=RABL6;sp|Q3YEC7-4|RABL6_HUMAN Isoform 4 of Rab-like protein 6 OS=Homo sapiens OX=9606 GN=			1	---	0.862557	0.586913
551		DIAPH1	Protein diaphanous homolog 1	DIAPH1	sp|O60610|DIAP1_HUMAN Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1 PE=1 SV=2;sp|O60610-2|DIAP1_HUMAN Isoform 2 of Protein diaphanous homolog 1 OS=Homo sapiens OX=9606 GN=DIAPH1;sp|O60610-3|DIAP1_HUMAN Isoform 3 of Protein diaphanous homol			47	---	0.30515	-0.255042
1715		POLR2B	DNA-directed RNA polymerase II subunit RPB2	POLR2B	sp|P30876|RPB2_HUMAN DNA-directed RNA polymerase II subunit RPB2 OS=Homo sapiens OX=9606 GN=POLR2B PE=1 SV=1			8	---	-0.909934	1.09537
6174		ILKAP	Integrin-linked kinase-associated serine/threonine phosphatase 2C	ILKAP	sp|Q9H0C8|ILKAP_HUMAN Integrin-linked kinase-associated serine/threonine phosphatase 2C OS=Homo sapiens OX=9606 GN=ILKAP PE=1 SV=1			3	---	-0.39478	1.30536
7110		ENOPH1	Enolase-phosphatase E1	ENOPH1	sp|Q9UHY7|ENOPH_HUMAN Enolase-phosphatase E1 OS=Homo sapiens OX=9606 GN=ENOPH1 PE=1 SV=1			2	---	0.110896	-1.70513
4821		WDR36	WD repeat-containing protein 36	WDR36	sp|Q8NI36|WDR36_HUMAN WD repeat-containing protein 36 OS=Homo sapiens OX=9606 GN=WDR36 PE=1 SV=1			3	---	-1.15758	1.15365
1318		MIF	Macrophage migration inhibitory factor	MIF	sp|P14174|MIF_HUMAN Macrophage migration inhibitory factor OS=Homo sapiens OX=9606 GN=MIF PE=1 SV=4			15	---	-0.152366	-0.111777
5151		ARHGEF1	Rho guanine nucleotide exchange factor 1	ARHGEF1	sp|Q92888|ARHG1_HUMAN Rho guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=ARHGEF1 PE=1 SV=2;sp|Q92888-3|ARHG1_HUMAN Isoform 3 of Rho guanine nucleotide exchange factor 1 OS=Homo sapiens OX=9606 GN=ARHGEF1;sp|Q92888-2|ARHG1_HUMAN Isoform 2 o			33	---	0.22221	-1.10817
2085		LIG3	DNA ligase 3	LIG3	sp|P49916-3|DNLI3_HUMAN Isoform 3 of DNA ligase 3 OS=Homo sapiens OX=9606 GN=LIG3;sp|P49916|DNLI3_HUMAN DNA ligase 3 OS=Homo sapiens OX=9606 GN=LIG3 PE=1 SV=2;sp|P49916-4|DNLI3_HUMAN Isoform 4 of DNA ligase 3 OS=Homo sapiens OX=9606 GN=LIG3;sp|P49916-2|DNL			3	---	-1.18538	1.31191
3329		TRIP13	Pachytene checkpoint protein 2 homolog	TRIP13	sp|Q15645|PCH2_HUMAN Pachytene checkpoint protein 2 homolog OS=Homo sapiens OX=9606 GN=TRIP13 PE=1 SV=2			11	---	-1.03048	-1.35863
6085		WDR11	WD repeat-containing protein 11	WDR11	sp|Q9BZH6|WDR11_HUMAN WD repeat-containing protein 11 OS=Homo sapiens OX=9606 GN=WDR11 PE=1 SV=1			10	---	0.482746	0.881057
2631		FKBP3	Peptidyl-prolyl cis-trans isomerase FKBP3	FKBP3	sp|Q00688|FKBP3_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP3 OS=Homo sapiens OX=9606 GN=FKBP3 PE=1 SV=1			4	---	-1.02791	1.34468
3050		BYSL	Bystin	BYSL	sp|Q13895|BYST_HUMAN Bystin OS=Homo sapiens OX=9606 GN=BYSL PE=1 SV=3			2	---	-1.76069	-0.376175
7507		HBS1L	HBS1-like protein	HBS1L	sp|Q9Y450|HBS1L_HUMAN HBS1-like protein OS=Homo sapiens OX=9606 GN=HBS1L PE=1 SV=1;sp|Q9Y450-4|HBS1L_HUMAN Isoform 3 of HBS1-like protein OS=Homo sapiens OX=9606 GN=HBS1L			16	---	-0.296077	0.469364
